2021-01-12 10:13:13 status unpacked openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:13 install ca-certificates:all <none> 20200601~deb9u1
2021-01-12 10:13:13 status half-installed ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:13 status unpacked ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:13 status unpacked ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:13 startup packages configure
2021-01-12 10:13:13 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2021-01-12 10:13:13 status half-configured libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:13 status installed libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:13 configure libunistring0:amd64 0.9.6+really0.9.3-0.1 <none>
2021-01-12 10:13:13 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:13 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2021-01-12 10:13:13 status half-configured libunistring0:amd64 0.9.6+really0.9.3-0.1
2021-01-12 10:13:13 status installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2021-01-12 10:13:13 configure libssl1.1:amd64 1.1.0l-1~deb9u2 <none>
2021-01-12 10:13:13 status unpacked libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:13 status half-configured libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:14 status installed libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:14 configure openssl:amd64 1.1.0l-1~deb9u2 <none>
2021-01-12 10:13:14 status unpacked openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:14 status unpacked openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:14 status half-configured openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:14 status installed openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:14 configure ca-certificates:all 20200601~deb9u1 <none>
2021-01-12 10:13:14 status unpacked ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:14 status half-configured ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:17 status installed ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:17 status triggers-pending ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:17 configure libidn2-0:amd64 0.16-1+deb9u1 <none>
2021-01-12 10:13:17 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2021-01-12 10:13:17 status half-configured libidn2-0:amd64 0.16-1+deb9u1
2021-01-12 10:13:17 status installed libidn2-0:amd64 0.16-1+deb9u1
2021-01-12 10:13:17 configure libpsl5:amd64 0.17.0-3 <none>
2021-01-12 10:13:17 status unpacked libpsl5:amd64 0.17.0-3
2021-01-12 10:13:17 status half-configured libpsl5:amd64 0.17.0-3
2021-01-12 10:13:17 status installed libpsl5:amd64 0.17.0-3
2021-01-12 10:13:17 configure wget:amd64 1.18-5+deb9u3 <none>
2021-01-12 10:13:17 status unpacked wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:17 status unpacked wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:17 status half-configured wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:17 status installed wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:17 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2021-01-12 10:13:17 status half-configured libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:17 status installed libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:17 trigproc ca-certificates:all 20200601~deb9u1 <none>
2021-01-12 10:13:17 status half-configured ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:17 status installed ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:21 startup packages remove
2021-01-12 10:13:21 status installed ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:21 remove ca-certificates:all 20200601~deb9u1 <none>
2021-01-12 10:13:21 status half-configured ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:21 status half-installed ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:22 status config-files ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:22 status config-files ca-certificates:all 20200601~deb9u1
2021-01-12 10:13:22 status installed wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:22 remove wget:amd64 1.18-5+deb9u3 <none>
2021-01-12 10:13:22 status half-configured wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:22 status half-installed wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:22 status config-files wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:22 status config-files wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:22 status installed libpsl5:amd64 0.17.0-3
2021-01-12 10:13:22 remove libpsl5:amd64 0.17.0-3 <none>
2021-01-12 10:13:22 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:22 status half-configured libpsl5:amd64 0.17.0-3
2021-01-12 10:13:22 status half-installed libpsl5:amd64 0.17.0-3
2021-01-12 10:13:22 status config-files libpsl5:amd64 0.17.0-3
2021-01-12 10:13:22 status config-files libpsl5:amd64 0.17.0-3
2021-01-12 10:13:22 status config-files libpsl5:amd64 0.17.0-3
2021-01-12 10:13:22 status not-installed libpsl5:amd64 <none>
2021-01-12 10:13:22 status installed libidn2-0:amd64 0.16-1+deb9u1
2021-01-12 10:13:22 remove libidn2-0:amd64 0.16-1+deb9u1 <none>
2021-01-12 10:13:22 status half-configured libidn2-0:amd64 0.16-1+deb9u1
2021-01-12 10:13:22 status half-installed libidn2-0:amd64 0.16-1+deb9u1
2021-01-12 10:13:22 status config-files libidn2-0:amd64 0.16-1+deb9u1
2021-01-12 10:13:22 status config-files libidn2-0:amd64 0.16-1+deb9u1
2021-01-12 10:13:22 status config-files libidn2-0:amd64 0.16-1+deb9u1
2021-01-12 10:13:22 status not-installed libidn2-0:amd64 <none>
2021-01-12 10:13:22 status installed openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 remove openssl:amd64 1.1.0l-1~deb9u2 <none>
2021-01-12 10:13:22 status half-configured openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status half-installed openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status config-files openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status config-files openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status installed libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 remove libssl1.1:amd64 1.1.0l-1~deb9u2 <none>
2021-01-12 10:13:22 status half-configured libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status half-installed libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status config-files libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status config-files libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2021-01-12 10:13:22 remove libunistring0:amd64 0.9.6+really0.9.3-0.1 <none>
2021-01-12 10:13:22 status half-configured libunistring0:amd64 0.9.6+really0.9.3-0.1
2021-01-12 10:13:22 status half-installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2021-01-12 10:13:22 status config-files libunistring0:amd64 0.9.6+really0.9.3-0.1
2021-01-12 10:13:22 status config-files libunistring0:amd64 0.9.6+really0.9.3-0.1
2021-01-12 10:13:22 status config-files libunistring0:amd64 0.9.6+really0.9.3-0.1
2021-01-12 10:13:22 status not-installed libunistring0:amd64 <none>
2021-01-12 10:13:22 startup packages configure
2021-01-12 10:13:22 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2021-01-12 10:13:22 status half-configured libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:22 status installed libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:22 startup packages purge
2021-01-12 10:13:22 purge libssl1.1:amd64 1.1.0l-1~deb9u2 <none>
2021-01-12 10:13:22 status config-files libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status config-files libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status config-files libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status config-files libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status config-files libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status not-installed libssl1.1:amd64 <none>
2021-01-12 10:13:22 purge openssl:amd64 1.1.0l-1~deb9u2 <none>
2021-01-12 10:13:22 status config-files openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:22 status config-files openssl:amd64 1.1.0l-1~deb9u2
